box_img_group,label,IoU,sample_size,F1,Precision,Recall
0.05~0.10,Brain Tumor/Lesion @ MR,0.568637,7,0.68246,0.721909,0.660175
0.25~0.30,Brain @ MR,0.083715,1,0.154497,1.0,0.083715
<0.05,Artery @ CT,0.623246,22,0.72215,0.793243,0.67863
<0.05,Brain @ MR,0.615204,99,0.739873,0.755113,0.822827
<0.05,Brain Tumor/Lesion @ MR,0.066382,93,0.095773,0.078752,0.187996
<0.05,Head-Neck @ MR,0.0,9,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.570604,91,0.645493,0.707731,0.610538
<0.05,Intestine @ CT,0.46318,7,0.577804,0.652408,0.582738
<0.05,Kidney @ CT,0.843962,34,0.875187,0.889116,0.865217
<0.05,Liver @ CT,0.745134,4,0.845831,1.0,0.745134
<0.05,Others @ CT,0.320667,6,0.410273,0.475071,0.476603
<0.05,Pancreas @ CT,0.647784,4,0.693933,0.713181,0.67665
<0.05,Spleen @ CT,0.743925,3,0.851911,0.964293,0.763054
<0.05,Urinary System @ CT,0.325882,5,0.460853,0.774775,0.331635
<0.05,Vein @ CT,0.6451,15,0.708274,0.71514,0.705228
