box_img_group,label,IoU,sample_size,F1,Precision,Recall
0.05~0.10,Brain Tumor/Lesion @ MR,0.0,31,0.0,0.0,0.0
0.05~0.10,Heart @ US,0.0,32,0.0,0.0,0.0
0.05~0.10,Kidney @ CT,0.0,6,0.0,0.0,0.0
0.05~0.10,Kidney Tumor/Lesion @ CT,0.0,13,0.0,0.0,0.0
0.05~0.10,Liver @ CT,0.0,18,0.0,0.0,0.0
0.05~0.10,Pancreas @ CT,0.0,5,0.0,0.0,0.0
0.05~0.10,Prostate @ MR,0.0,11,0.0,0.0,0.0
0.05~0.10,Spleen @ CT,0.0,43,0.0,0.0,0.0
0.05~0.10,Vein @ CT,0.0,3,0.0,0.0,0.0
0.10~0.15,Brain Tumor/Lesion @ MR,0.0,1,0.0,0.0,0.0
0.10~0.15,Heart @ US,0.0,17,0.0,0.0,0.0
0.10~0.15,Kidney @ CT,0.0,7,0.0,0.0,0.0
0.10~0.15,Kidney Tumor/Lesion @ CT,0.0,3,0.0,0.0,0.0
0.10~0.15,Liver @ CT,0.0,2,0.0,0.0,0.0
0.15~0.20,Heart @ US,0.0,3,0.0,0.0,0.0
0.15~0.20,Kidney @ CT,0.0,8,0.0,0.0,0.0
0.15~0.20,Knee Bone @ MR,0.0,29,0.0,0.0,0.0
0.15~0.20,Liver @ CT,0.0,1,0.0,0.0,0.0
0.20~0.25,Heart @ US,0.0,26,0.0,0.0,0.0
0.20~0.25,Kidney @ CT,0.0,12,0.0,0.0,0.0
0.20~0.25,Knee Bone @ MR,0.0,20,0.0,0.0,0.0
0.20~0.25,Liver @ CT,0.0,2,0.0,0.0,0.0
0.25~0.30,Brain @ MR,0.0,1,0.0,0.0,0.0
0.25~0.30,Heart @ US,0.0,4,0.0,0.0,0.0
0.25~0.30,Kidney @ CT,0.0,26,0.0,0.0,0.0
0.25~0.30,Knee Bone @ MR,0.0,23,0.0,0.0,0.0
0.25~0.30,Liver @ CT,0.0,3,0.0,0.0,0.0
0.30~0.35,Kidney @ CT,0.0,32,0.0,0.0,0.0
0.30~0.35,Knee Bone @ MR,0.0,28,0.0,0.0,0.0
0.30~0.35,Liver @ CT,0.0,23,0.0,0.0,0.0
<0.05,Artery @ CT,0.0,35,0.0,0.0,0.0
<0.05,Artery @ MR,0.0,100,0.0,0.0,0.0
<0.05,Brain @ MR,0.000651,99,0.001223,0.000651,0.010101
<0.05,Brain Tumor/Lesion @ MR,0.0,468,0.0,0.0,0.0
<0.05,Colon Tumor/Lesion @ CT,0.017301,100,0.032735,0.017454,0.411577
<0.05,Gallbladder @ CT,0.0,11,0.0,0.0,0.0
<0.05,Head-Neck @ MR,0.0,9,0.0,0.0,0.0
<0.05,Head-Neck Tumor/Lesion @ MR,0.0,117,0.0,0.0,0.0
<0.05,Heart @ MR,0.0,100,0.0,0.0,0.0
<0.05,Heart @ US,0.0,18,0.0,0.0,0.0
<0.05,Intestine @ CT,0.0,12,0.0,0.0,0.0
<0.05,Kidney @ CT,0.024793,79,0.044835,0.025272,0.255694
<0.05,Kidney Tumor/Lesion @ CT,0.0,62,0.0,0.0,0.0
<0.05,Liver @ CT,0.0,88,0.0,0.0,0.0
<0.05,Liver Tumor/Lesion @ CT,0.0,135,0.0,0.0,0.0
<0.05,Lung Tumor/Lesion @ CT,0.0,100,0.0,0.0,0.0
<0.05,Metastatic Lymph Node @ MR,0.0,74,0.0,0.0,0.0
<0.05,Pancreas @ CT,0.0,134,0.0,0.0,0.0
<0.05,Pancreas Tumor/Lesion @ CT,0.0,27,0.0,0.0,0.0
<0.05,Prostate @ MR,0.0,89,0.0,0.0,0.0
<0.05,Spleen @ CT,0.0,62,0.0,0.0,0.0
<0.05,Stomach @ CT,0.0,7,0.0,0.0,0.0
<0.05,Vein @ CT,0.0,41,0.0,0.0,0.0
