box_img_group,label,box_img_ratio,IoU,F1,Precision,Recall
<0.05,Brain Tumor/Lesion @ MR,0.0026041666666666665,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.006927083333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.019270833333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.020555555555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.025555555555555557,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.025972222222222223,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.027743055555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.03263888888888889,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004583333333333333,0.0,0.0,0.0,0.0
0.05~0.10,Brain Tumor/Lesion @ MR,0.05019097222222222,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.04732638888888889,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.003159722222222222,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.012586805555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.010572916666666666,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0022916666666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.011076388888888889,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.00875,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.03680555555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.011579861111111112,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.012083333333333333,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.011666666666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.025520833333333333,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.011666666666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.023333333333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.01125,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.020052083333333335,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.010416666666666666,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.009184027777777777,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.008385416666666666,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.01078125,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004166666666666667,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005833333333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004618055555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0036458333333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004791666666666666,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005590277777777777,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005555555555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005555555555555556,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005729166666666666,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.006111111111111111,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005833333333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005833333333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.005989583333333334,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.004965277777777778,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.006388888888888889,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.006875,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.007083333333333333,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.0084375,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.011458333333333333,0.0,0.0,0.0,0.0
<0.05,Brain Tumor/Lesion @ MR,0.015347222222222222,0.0,0.0,0.0,0.0
